experiment,model,soc_bin,mean_signed_error,mean_abs_error
cross_B_train_LG_test_PAN,gru,0.725,-0.0969029888510704,0.09693814814090729
cross_B_train_LG_test_PAN,gru,0.775,-0.10142242163419724,0.10142486542463303
cross_B_train_LG_test_PAN,gru,0.825,-0.11119183152914047,0.11119309067726135
cross_B_train_LG_test_PAN,gru,0.875,-0.11018572002649307,0.11020165681838989
cross_B_train_LG_test_PAN,gru,0.925,-0.10956582427024841,0.10961822420358658
cross_B_train_LG_test_PAN,gru,0.975,0.011099844239652157,0.049513038247823715
cross_B_train_LG_test_PAN,linear,0.025,-0.12079959374034044,0.12079959374034044
cross_B_train_LG_test_PAN,linear,0.075,-0.00083422939783024,0.042828999777540774
cross_B_train_LG_test_PAN,linear,0.125,-0.07512126817764661,0.13761301636147522
cross_B_train_LG_test_PAN,linear,0.175,0.03228099316221439,0.0658700684074061
cross_B_train_LG_test_PAN,linear,0.225,0.030369189909208415,0.06188580696365682
cross_B_train_LG_test_PAN,linear,0.275,0.03681081694087454,0.05581512753911589
cross_B_train_LG_test_PAN,linear,0.325,0.0190063108441757,0.05288263202071855
cross_B_train_LG_test_PAN,linear,0.375,0.0009345954919914644,0.04239334016439905
cross_B_train_LG_test_PAN,linear,0.425,-0.04170861819568007,0.06187554557413529
cross_B_train_LG_test_PAN,linear,0.475,-0.042976110387610116,0.05190180110320294
cross_B_train_LG_test_PAN,linear,0.525,-0.05376931402335381,0.05708831428998344
cross_B_train_LG_test_PAN,linear,0.575,-0.06676339432482713,0.06814499565624788
cross_B_train_LG_test_PAN,linear,0.625,-0.06395823931918954,0.06422427513689365
cross_B_train_LG_test_PAN,linear,0.675,-0.07172710105710424,0.07204445280739606
cross_B_train_LG_test_PAN,linear,0.725,-0.08168666536951515,0.08201918995752121
cross_B_train_LG_test_PAN,linear,0.775,-0.08672978925483056,0.08680685947821577
cross_B_train_LG_test_PAN,linear,0.825,-0.09562121440324692,0.09567357786255985
cross_B_train_LG_test_PAN,linear,0.875,-0.10084294363371207,0.10089970912952166
cross_B_train_LG_test_PAN,linear,0.925,-0.10657018315078866,0.10659972056364402
cross_B_train_LG_test_PAN,linear,0.975,0.012173018323951484,0.07439841269670244
cross_B_train_LG_test_PAN,lstm,0.025,0.0854945108294487,0.0854945108294487
cross_B_train_LG_test_PAN,lstm,0.075,0.08403442054986954,0.08403442054986954
cross_B_train_LG_test_PAN,lstm,0.125,0.05430491641163826,0.05538726970553398
cross_B_train_LG_test_PAN,lstm,0.175,0.02688063681125641,0.030683651566505432
cross_B_train_LG_test_PAN,lstm,0.225,0.0009785015136003494,0.026076458394527435
cross_B_train_LG_test_PAN,lstm,0.275,-0.016284262761473656,0.03048214688897133
cross_B_train_LG_test_PAN,lstm,0.325,-0.034020401537418365,0.04089701548218727
cross_B_train_LG_test_PAN,lstm,0.375,-0.044703446328639984,0.04903180152177811
cross_B_train_LG_test_PAN,lstm,0.425,-0.06555041670799255,0.06741046160459518
cross_B_train_LG_test_PAN,lstm,0.475,-0.07315270602703094,0.07409807294607162
cross_B_train_LG_test_PAN,lstm,0.525,-0.07985736429691315,0.08011146634817123
cross_B_train_LG_test_PAN,lstm,0.575,-0.08789730072021484,0.08801435679197311
cross_B_train_LG_test_PAN,lstm,0.625,-0.08656420558691025,0.08659143000841141
cross_B_train_LG_test_PAN,lstm,0.675,-0.09044388681650162,0.09050033986568451
cross_B_train_LG_test_PAN,lstm,0.725,-0.09806683659553528,0.09808697551488876
cross_B_train_LG_test_PAN,lstm,0.775,-0.10333530604839325,0.10333532840013504
cross_B_train_LG_test_PAN,lstm,0.825,-0.1137232556939125,0.1137232556939125
cross_B_train_LG_test_PAN,lstm,0.875,-0.11446008086204529,0.11446579545736313
cross_B_train_LG_test_PAN,lstm,0.925,-0.11407967656850815,0.11417538672685623
cross_B_train_LG_test_PAN,lstm,0.975,-0.009743573144078255,0.031131112948060036
cross_B_train_LG_test_PAN,mlp,0.025,0.05987685173749924,0.05997347831726074
cross_B_train_LG_test_PAN,mlp,0.075,0.08345583081245422,0.08543862402439117
cross_B_train_LG_test_PAN,mlp,0.125,0.03199709579348564,0.07262302935123444
cross_B_train_LG_test_PAN,mlp,0.175,0.03497283160686493,0.04127809777855873
cross_B_train_LG_test_PAN,mlp,0.225,0.00781041057780385,0.027191728353500366
cross_B_train_LG_test_PAN,mlp,0.275,-0.013364478014409542,0.025180833414196968
cross_B_train_LG_test_PAN,mlp,0.325,-0.03580722585320473,0.03794002905488014
cross_B_train_LG_test_PAN,mlp,0.375,-0.05101610720157623,0.05202537775039673
cross_B_train_LG_test_PAN,mlp,0.425,-0.0712677612900734,0.0716986209154129
cross_B_train_LG_test_PAN,mlp,0.475,-0.07527224719524384,0.07532960176467896
cross_B_train_LG_test_PAN,mlp,0.525,-0.07603204995393753,0.07605017721652985
cross_B_train_LG_test_PAN,mlp,0.575,-0.08389623463153839,0.08389623463153839
cross_B_train_LG_test_PAN,mlp,0.625,-0.0865374207496643,0.0865374207496643
cross_B_train_LG_test_PAN,mlp,0.675,-0.09377878904342651,0.09377878904342651
cross_B_train_LG_test_PAN,mlp,0.725,-0.10017013549804688,0.10017013549804688
cross_B_train_LG_test_PAN,mlp,0.775,-0.10308398306369781,0.10308398306369781
cross_B_train_LG_test_PAN,mlp,0.825,-0.10929415374994278,0.10929415374994278
cross_B_train_LG_test_PAN,mlp,0.875,-0.105741485953331,0.105741485953331
cross_B_train_LG_test_PAN,mlp,0.925,-0.10420608520507812,0.10420608520507812
cross_B_train_LG_test_PAN,mlp,0.975,0.05397593975067139,0.0924723669886589
cross_B_train_LG_test_PAN,patchtst,0.025,0.03138754889369011,0.03194984793663025
cross_B_train_LG_test_PAN,patchtst,0.075,0.07360481470823288,0.07360481470823288
cross_B_train_LG_test_PAN,patchtst,0.125,0.0472213514149189,0.05255291983485222
