experiment,model,seed,rmse,mae,max_error,mape_pct,r2,n_params,train_time_s,n_train,n_test,device,timestamp
within_PAN,transformer,3,0.020415111867805164,0.015258729433212404,0.12005747854709625,3.858257868604701,0.9942059617040592,67265,58.908,31768,10582,cuda,2026-06-08T18:34:04+00:00
within_PAN,transformer,4,0.017362474144540216,0.013467559367742167,0.16241000592708588,3.2391765781290327,0.9958091602233528,67265,72.004,31768,10582,cuda,2026-06-08T18:35:16+00:00
within_PAN,patchtst,1,0.033451027222552845,0.02298130560895149,0.2828872799873352,5.128422076039554,0.9844440424005361,68481,35.629,31768,10582,cuda,2026-06-08T18:35:52+00:00
within_PAN,patchtst,2,0.03227927335746214,0.023115871760355594,0.2467525601387024,5.194760355201038,0.9855147720929959,68481,39.55,31768,10582,cuda,2026-06-08T18:36:31+00:00
within_PAN,patchtst,3,0.034732129519607864,0.026744712420488054,0.2513626217842102,6.026126854470253,0.9832297067437729,68481,28.823,31768,10582,cuda,2026-06-08T18:37:00+00:00
within_PAN,patchtst,4,0.034284353274775727,0.023923047583256613,0.25354623794555664,5.451776618203081,0.9836593338816563,68481,36.744,31768,10582,cuda,2026-06-08T18:37:37+00:00
cross_A_train_PAN_test_LG,linear,1,0.10178948026212994,0.08165443573512336,0.42323189973831177,18.9041057747928,0.8209547622308192,301,0.268,42051,44282,cpu,2026-06-08T18:37:39+00:00
cross_A_train_PAN_test_LG,linear,2,0.10178948026212994,0.08165443573512336,0.42323189973831177,18.9041057747928,0.8209547622308192,301,0.213,42051,44282,cpu,2026-06-08T18:37:39+00:00
cross_A_train_PAN_test_LG,linear,3,0.10178948026212994,0.08165443573512336,0.42323189973831177,18.9041057747928,0.8209547622308192,301,0.283,42051,44282,cpu,2026-06-08T18:37:40+00:00
cross_A_train_PAN_test_LG,linear,4,0.10178948026212994,0.08165443573512336,0.42323189973831177,18.9041057747928,0.8209547622308192,301,0.154,42051,44282,cpu,2026-06-08T18:37:40+00:00
cross_A_train_PAN_test_LG,mlp,1,0.10562808707219773,0.08343222016667771,0.43802982568740845,16.615350748066312,0.8071961019877247,110081,6.716,42051,44282,cuda,2026-06-08T18:37:47+00:00
cross_A_train_PAN_test_LG,mlp,2,0.10470203079708465,0.08552918089803149,0.35705190896987915,16.481016418320383,0.810561960256989,110081,7.64,42051,44282,cuda,2026-06-08T18:37:55+00:00
cross_A_train_PAN_test_LG,mlp,3,0.09716371017354539,0.08003275358790246,0.3269187808036804,15.771651828440945,0.8368582336205872,110081,13.344,42051,44282,cuda,2026-06-08T18:38:08+00:00
cross_A_train_PAN_test_LG,mlp,4,0.10429248222639226,0.08201212628980643,0.3795158863067627,15.833484074463797,0.8120410593790179,110081,9.324,42051,44282,cuda,2026-06-08T18:38:18+00:00
cross_A_train_PAN_test_LG,lstm,1,0.10731018788005255,0.08754263222892254,0.3409387469291687,17.702760574230844,0.8010064998862101,38881,20.297,42051,44282,cuda,2026-06-08T18:38:38+00:00
cross_A_train_PAN_test_LG,lstm,2,0.1053172992363543,0.08328143213262099,0.3464113771915436,16.22841020960871,0.8083290005454159,38881,31.049,42051,44282,cuda,2026-06-08T18:39:10+00:00
cross_A_train_PAN_test_LG,lstm,3,0.10461589603888631,0.08412205678130939,0.3318312168121338,17.04737872562169,0.8108735203637656,38881,21.646,42051,44282,cuda,2026-06-08T18:39:32+00:00
cross_A_train_PAN_test_LG,lstm,4,0.10549074086826342,0.08270681370634395,0.41061198711395264,16.260734639441537,0.8076971745325989,38881,15.88,42051,44282,cuda,2026-06-08T18:39:48+00:00
cross_A_train_PAN_test_LG,gru,1,0.09570316858812089,0.0752513906393727,0.32670295238494873,14.501218445287705,0.8417259869177751,29185,28.558,42051,44282,cuda,2026-06-08T18:40:17+00:00
cross_A_train_PAN_test_LG,gru,2,0.08901264734561777,0.0708600879148346,0.30425554513931274,14.222701837000674,0.8630820412478739,29185,19.272,42051,44282,cuda,2026-06-08T18:40:36+00:00
cross_A_train_PAN_test_LG,gru,3,0.09870393067772215,0.07934375277442648,0.32307249307632446,16.4745300741587,0.8316450553840702,29185,21.571,42051,44282,cuda,2026-06-08T18:40:58+00:00
cross_A_train_PAN_test_LG,gru,4,0.10092392722190154,0.07953367061799611,0.3536970019340515,15.699493339477765,0.8239867897627646,29185,20.722,42051,44282,cuda,2026-06-08T18:41:19+00:00
cross_A_train_PAN_test_LG,bilstm,1,0.10925826580570339,0.08454298154296959,0.3659766912460327,17.029284543476646,0.7937159799593541,77761,36.488,42051,44282,cuda,2026-06-08T18:41:56+00:00
cross_A_train_PAN_test_LG,bilstm,2,0.10363215022411014,0.08242115153070088,0.34705615043640137,16.737717085489468,0.8144136634339504,77761,79.366,42051,44282,cuda,2026-06-08T18:43:16+00:00
cross_A_train_PAN_test_LG,bilstm,3,0.09968457223655994,0.08050233284063221,0.3302221894264221,16.22693942508513,0.8282831632505272,77761,41.254,42051,44282,cuda,2026-06-08T18:43:58+00:00
cross_A_train_PAN_test_LG,bilstm,4,0.09850878073786824,0.07933053719646632,0.3183754086494446,15.742495045818774,0.83231011458521,77761,36.508,42051,44282,cuda,2026-06-08T18:44:35+00:00
cross_A_train_PAN_test_LG,cnn_bilstm_attn,1,0.1040820013364192,0.08501673670395012,0.3273041844367981,16.72497757486548,0.8127989633601345,42402,16.055,42051,44282,cuda,2026-06-08T18:44:52+00:00
cross_A_train_PAN_test_LG,cnn_bilstm_attn,2,0.10721625644821033,0.08834537839301045,0.33954089879989624,17.11981815049747,0.8013547159144209,42402,53.956,42051,44282,cuda,2026-06-08T18:45:46+00:00
cross_A_train_PAN_test_LG,cnn_bilstm_attn,3,0.10444206680265261,0.08515107221314214,0.3487018346786499,17.050830668327976,0.8115015013818265,42402,29.996,42051,44282,cuda,2026-06-08T18:46:16+00:00
cross_A_train_PAN_test_LG,cnn_bilstm_attn,4,0.10939452097599063,0.088054324330201,0.3868434429168701,17.19666423014733,0.7932011486053904,42402,20.682,42051,44282,cuda,2026-06-08T18:46:38+00:00
cross_A_train_PAN_test_LG,tcn,1,0.1120270768059621,0.09189011066981079,0.405713826417923,17.235958134739,0.7831282479426052,16001,58.835,42051,44282,cuda,2026-06-08T18:47:37+00:00
cross_A_train_PAN_test_LG,tcn,2,0.1082556818914186,0.09016486404081799,0.36874204874038696,17.583963128658727,0.7974844478864339,16001,58.723,42051,44282,cuda,2026-06-08T18:48:36+00:00
cross_A_train_PAN_test_LG,tcn,3,0.10601885926909252,0.08523168312432368,0.33900362253189087,16.399002219408278,0.8057669031849023,16001,58.533,42051,44282,cuda,2026-06-08T18:49:34+00:00
cross_A_train_PAN_test_LG,tcn,4,0.112354074735602,0.09175540933453719,0.41822558641433716,17.821793685918426,0.7818603381504308,16001,58.546,42051,44282,cuda,2026-06-08T18:50:33+00:00
cross_A_train_PAN_test_LG,transformer,1,0.09490242594180787,0.07562890546308462,0.32143157720565796,14.959789163162066,0.8443634451034338,67265,59.522,42051,44282,cuda,2026-06-08T18:51:34+00:00
cross_A_train_PAN_test_LG,transformer,2,0.10474185898764525,0.08722891102056061,0.3563076853752136,17.635564043439338,0.8104178100561508,67265,97.854,42051,44282,cuda,2026-06-08T18:53:13+00:00
cross_A_train_PAN_test_LG,transformer,3,0.09591338044155645,0.07928159349325799,0.3166724443435669,15.946439548788454,0.8410299260859024,67265,110.728,42051,44282,cuda,2026-06-08T18:55:05+00:00
cross_A_train_PAN_test_LG,transformer,4,0.09709393091834997,0.07961765129948141,0.3250414729118347,16.74771178049587,0.837092473815501,67265,114.894,42051,44282,cuda,2026-06-08T18:57:01+00:00
cross_A_train_PAN_test_LG,patchtst,1,0.07316001860408582,0.058128670216610154,0.29959239065647125,13.43766390954567,0.9075079096094371,68481,60.586,42051,44282,cuda,2026-06-08T18:58:02+00:00
cross_A_train_PAN_test_LG,patchtst,2,0.07201504587196719,0.056658463536610144,0.29976367950439453,12.725490259906454,0.9103803045426686,68481,64.99,42051,44282,cuda,2026-06-08T18:59:07+00:00
cross_A_train_PAN_test_LG,patchtst,3,0.07124409006994963,0.05685583734714502,0.27657151967287064,12.517152463565084,0.9122888776012866,68481,56.437,42051,44282,cuda,2026-06-08T19:00:04+00:00
cross_A_train_PAN_test_LG,patchtst,4,0.07437609149138415,0.05952086823063548,0.2928638458251953,13.191758594335631,0.904407529692217,68481,45.994,42051,44282,cuda,2026-06-08T19:00:50+00:00
cross_B_train_LG_test_PAN,linear,1,0.0970961254120389,0.07366415866295031,0.8504485189914703,15.362915507937108,0.8704605853154042,301,0.233,38165,52633,cpu,2026-06-08T19:00:52+00:00
cross_B_train_LG_test_PAN,linear,2,0.0970961254120389,0.07366415866295031,0.8504485189914703,15.362915507937108,0.8704605853154042,301,0.2,38165,52633,cpu,2026-06-08T19:00:53+00:00
