direction,model,method,fraction,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,n_pool_windows
cross_A_train_PAN_test_LG,patchtst,finetune,0.2,5,0.03059,0.00557,0.04053,0.00724,0.01182,5153.4
cross_A_train_PAN_test_LG,patchtst,finetune,0.5,5,0.02162,0.0027,0.02963,0.00326,0.00389,14159.0
cross_A_train_PAN_test_LG,patchtst,finetune,1.0,5,0.01836,0.00096,0.02506,0.00053,0.00299,27105.0
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.0,5,0.05918,0.00164,0.07469,0.00193,0.01314,0.0
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.05,5,0.05159,0.01498,0.06655,0.01384,0.00168,1312.2
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.1,5,0.05009,0.01051,0.06239,0.0095,0.01538,2603.0
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.2,5,0.0458,0.00352,0.05863,0.00283,0.00566,5153.4
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.5,5,0.04464,0.00344,0.05771,0.00315,0.00319,14159.0
cross_A_train_PAN_test_LG,patchtst,recal_affine,1.0,5,0.04391,0.00231,0.05723,0.0026,0.001,27105.0
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.0,5,0.05918,0.00164,0.07469,0.00193,0.01314,0.0
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.05,5,0.06646,0.01494,0.08424,0.01399,-0.00041,1312.2
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.1,5,0.06363,0.0114,0.07893,0.01107,0.02071,2603.0
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.2,5,0.0589,0.00339,0.07475,0.00283,0.00861,5153.4
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.5,5,0.05826,0.00329,0.07416,0.00339,0.0071,14159.0
cross_A_train_PAN_test_LG,patchtst,recal_bias,1.0,5,0.05744,0.00206,0.07354,0.00243,0.00362,27105.0
cross_A_train_PAN_test_LG,tcn,recal_affine,0.0,5,0.09028,0.00278,0.11071,0.00267,0.08438,0.0
cross_A_train_PAN_test_LG,tcn,recal_affine,0.05,5,0.05559,0.00298,0.07058,0.00377,-0.00861,1312.2
cross_A_train_PAN_test_LG,tcn,recal_affine,0.1,5,0.05163,0.00225,0.06637,0.00217,0.00683,2603.0
cross_A_train_PAN_test_LG,tcn,recal_affine,0.2,5,0.05149,0.00241,0.06591,0.00272,0.00278,5153.4
cross_A_train_PAN_test_LG,tcn,recal_affine,0.5,5,0.05074,0.00185,0.06481,0.00185,0.00162,14159.0
cross_A_train_PAN_test_LG,tcn,recal_affine,1.0,5,0.05073,0.00184,0.06462,0.00183,-0.00038,27105.0
cross_A_train_PAN_test_LG,tcn,recal_bias,0.0,5,0.09028,0.00278,0.11071,0.00267,0.08438,0.0
cross_A_train_PAN_test_LG,tcn,recal_bias,0.05,5,0.06238,0.00697,0.0786,0.00767,-0.01136,1312.2
cross_A_train_PAN_test_LG,tcn,recal_bias,0.1,5,0.05625,0.00306,0.07361,0.00313,0.00862,2603.0
cross_A_train_PAN_test_LG,tcn,recal_bias,0.2,5,0.05624,0.00288,0.07283,0.00313,0.00425,5153.4
cross_A_train_PAN_test_LG,tcn,recal_bias,0.5,5,0.05516,0.00196,0.07191,0.00243,0.00425,14159.0
cross_A_train_PAN_test_LG,tcn,recal_bias,1.0,5,0.05526,0.00199,0.07164,0.00237,0.00133,27105.0
cross_A_train_PAN_test_LG,transformer,recal_affine,0.0,5,0.08116,0.00434,0.09865,0.00405,0.06421,0.0
cross_A_train_PAN_test_LG,transformer,recal_affine,0.05,5,0.05525,0.00314,0.07073,0.00405,-0.01228,1312.2
cross_A_train_PAN_test_LG,transformer,recal_affine,0.1,5,0.05273,0.00684,0.0665,0.00718,0.00896,2603.0
cross_A_train_PAN_test_LG,transformer,recal_affine,0.2,5,0.04963,0.00366,0.06349,0.00442,0.0009,5153.4
cross_A_train_PAN_test_LG,transformer,recal_affine,0.5,5,0.04937,0.00423,0.06313,0.00463,0.00124,14159.0
cross_A_train_PAN_test_LG,transformer,recal_affine,1.0,5,0.04907,0.0039,0.06293,0.00459,-0.00165,27105.0
cross_A_train_PAN_test_LG,transformer,recal_bias,0.0,5,0.08116,0.00434,0.09865,0.00405,0.06421,0.0
cross_A_train_PAN_test_LG,transformer,recal_bias,0.05,5,0.0649,0.0036,0.08396,0.00402,-0.01521,1312.2
cross_A_train_PAN_test_LG,transformer,recal_bias,0.1,5,0.05907,0.00853,0.07789,0.00814,0.01261,2603.0
cross_A_train_PAN_test_LG,transformer,recal_bias,0.2,5,0.05676,0.00385,0.07539,0.00498,0.00306,5153.4
cross_A_train_PAN_test_LG,transformer,recal_bias,0.5,5,0.0562,0.00451,0.07509,0.00518,0.00458,14159.0
cross_A_train_PAN_test_LG,transformer,recal_bias,1.0,5,0.05582,0.00415,0.07479,0.00519,0.00035,27105.0
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.0,5,0.07069,0.00145,0.09327,0.00211,-0.06005,0.0
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.05,5,0.0644,0.00706,0.08278,0.00887,0.01341,1823.6
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.1,5,0.06361,0.00679,0.08013,0.00611,0.01526,2687.0
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.2,5,0.05697,0.00177,0.07293,0.0011,0.00364,5824.2
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.5,5,0.05599,0.00151,0.07144,0.00123,0.00029,15791.0
cross_B_train_LG_test_PAN,bilstm,recal_affine,1.0,5,0.05586,0.00119,0.07122,0.00105,0.00063,31369.0
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.0,5,0.07069,0.00145,0.09327,0.00211,-0.06005,0.0
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.05,5,0.05906,0.00301,0.0742,0.00252,0.00511,1823.6
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.1,5,0.05967,0.00786,0.07452,0.00714,0.01024,2687.0
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.2,5,0.05679,0.00164,0.07197,0.00122,0.00177,5824.2
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.5,5,0.05621,0.0013,0.07152,0.00105,-0.00024,15791.0
cross_B_train_LG_test_PAN,bilstm,recal_bias,1.0,5,0.05611,0.00107,0.07137,0.001,0.00039,31369.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.0,5,0.07777,0.00331,0.09692,0.00259,-0.05753,0.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.05,5,0.07045,0.00925,0.09064,0.01288,0.01383,1823.6
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.1,5,0.07039,0.00639,0.08783,0.00602,0.01621,2687.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.2,5,0.06234,0.00309,0.07876,0.00464,-0.00301,5824.2
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.5,5,0.0608,0.00281,0.07642,0.00265,-0.00371,15791.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,1.0,5,0.06075,0.00297,0.07622,0.00314,-0.00404,31369.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.0,5,0.07777,0.00331,0.09692,0.00259,-0.05753,0.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.05,5,0.06497,0.00556,0.08099,0.00611,0.00364,1823.6
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.1,5,0.06611,0.00913,0.08187,0.00963,0.01116,2687.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.2,5,0.06383,0.00414,0.08001,0.00547,-0.0092,5824.2
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.5,5,0.0619,0.00327,0.07839,0.00392,-0.00574,15791.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,1.0,5,0.06169,0.00321,0.07818,0.00419,-0.00614,31369.0
cross_B_train_LG_test_PAN,gru,finetune,0.0,5,0.07092,0.00332,0.09037,0.00107,-0.0559,0.0
cross_B_train_LG_test_PAN,gru,finetune,0.05,5,0.03116,0.00686,0.04131,0.00649,0.00594,1823.6
cross_B_train_LG_test_PAN,gru,finetune,0.1,5,0.04695,0.01681,0.06395,0.02273,0.01408,2687.0
cross_B_train_LG_test_PAN,gru,finetune,0.2,5,0.0368,0.00544,0.04644,0.00738,0.00189,5824.2
cross_B_train_LG_test_PAN,gru,finetune,0.5,5,0.01816,0.00226,0.02576,0.00287,-5e-05,15791.0
cross_B_train_LG_test_PAN,gru,finetune,1.0,5,0.01638,0.00141,0.02297,0.00177,0.00095,31369.0
cross_B_train_LG_test_PAN,gru,recal_affine,0.0,5,0.07092,0.00332,0.09037,0.00107,-0.0559,0.0
cross_B_train_LG_test_PAN,gru,recal_affine,0.05,5,0.06356,0.00607,0.08076,0.00913,0.0124,1823.6
cross_B_train_LG_test_PAN,gru,recal_affine,0.1,5,0.06329,0.00838,0.08012,0.0102,0.01719,2687.0
cross_B_train_LG_test_PAN,gru,recal_affine,0.2,5,0.05706,0.00332,0.07258,0.00419,0.00139,5824.2
cross_B_train_LG_test_PAN,gru,recal_affine,0.5,5,0.05595,0.00323,0.07062,0.00327,-0.00062,15791.0
cross_B_train_LG_test_PAN,gru,recal_affine,1.0,5,0.05575,0.00291,0.07018,0.00302,-0.00016,31369.0
cross_B_train_LG_test_PAN,gru,recal_bias,0.0,5,0.07092,0.00332,0.09037,0.00107,-0.0559,0.0
cross_B_train_LG_test_PAN,gru,recal_bias,0.05,5,0.0585,0.00303,0.07293,0.00328,0.00243,1823.6
cross_B_train_LG_test_PAN,gru,recal_bias,0.1,5,0.05973,0.00903,0.07427,0.01007,0.01248,2687.0
cross_B_train_LG_test_PAN,gru,recal_bias,0.2,5,0.05713,0.00332,0.07167,0.0037,-0.00208,5824.2
cross_B_train_LG_test_PAN,gru,recal_bias,0.5,5,0.05677,0.00372,0.0712,0.00434,-0.00186,15791.0
cross_B_train_LG_test_PAN,gru,recal_bias,1.0,5,0.05649,0.00328,0.07088,0.00395,-0.00115,31369.0
cross_B_train_LG_test_PAN,linear,recal_affine,0.0,5,0.0672,0.0,0.0867,0.0,-0.03551,0.0
cross_B_train_LG_test_PAN,linear,recal_affine,0.05,5,0.06736,0.00506,0.0887,0.00641,0.01795,1823.6
cross_B_train_LG_test_PAN,linear,recal_affine,0.1,5,0.0687,0.00334,0.09108,0.00392,0.01828,2687.0
cross_B_train_LG_test_PAN,linear,recal_affine,0.2,5,0.0693,0.00828,0.08875,0.0119,0.01532,5824.2
cross_B_train_LG_test_PAN,linear,recal_affine,0.5,5,0.06669,0.00134,0.08482,0.00195,0.0068,15791.0
cross_B_train_LG_test_PAN,linear,recal_affine,1.0,5,0.06533,0.0,0.08281,0.0,0.00647,31369.0
cross_B_train_LG_test_PAN,linear,recal_bias,0.0,5,0.0672,0.0,0.0867,0.0,-0.03551,0.0
cross_B_train_LG_test_PAN,linear,recal_bias,0.05,5,0.0628,0.00091,0.08035,0.00077,0.00929,1823.6
cross_B_train_LG_test_PAN,linear,recal_bias,0.1,5,0.06498,0.0057,0.08242,0.00526,0.013,2687.0
cross_B_train_LG_test_PAN,linear,recal_bias,0.2,5,0.0634,0.00257,0.08089,0.00238,0.01228,5824.2
cross_B_train_LG_test_PAN,linear,recal_bias,0.5,5,0.06194,0.00088,0.07953,0.00077,0.00547,15791.0
cross_B_train_LG_test_PAN,linear,recal_bias,1.0,5,0.06169,0.0,0.07928,0.0,0.00551,31369.0
cross_B_train_LG_test_PAN,lstm,finetune,0.0,5,0.06958,0.00068,0.09271,0.0016,-0.05851,0.0
cross_B_train_LG_test_PAN,lstm,finetune,0.05,5,0.02976,0.00965,0.03923,0.00896,0.0091,1823.6
cross_B_train_LG_test_PAN,lstm,finetune,0.1,5,0.03516,0.01183,0.04566,0.01437,0.01109,2687.0
cross_B_train_LG_test_PAN,lstm,finetune,0.2,5,0.02835,0.00559,0.03694,0.00447,0.0099,5824.2
cross_B_train_LG_test_PAN,lstm,finetune,0.5,5,0.01917,0.00322,0.02739,0.00357,-0.00028,15791.0
cross_B_train_LG_test_PAN,lstm,finetune,1.0,5,0.01674,0.00047,0.02398,0.00041,-0.00018,31369.0
