direction,model,method,fraction,mae_mean,gap_share_closed
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.1,0.07039,0.118
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.2,0.06234,0.2468
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.5,0.0608,0.2714
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,1.0,0.06075,0.2722
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.0,0.07777,0.0
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.05,0.06497,0.2047
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.1,0.06611,0.1865
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.2,0.06383,0.223
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.5,0.0619,0.2538
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,1.0,0.06169,0.2572
cross_B_train_LG_test_PAN,gru,finetune,0.0,0.07092,0.0
cross_B_train_LG_test_PAN,gru,finetune,0.05,0.03116,0.6792
cross_B_train_LG_test_PAN,gru,finetune,0.1,0.04695,0.4095
cross_B_train_LG_test_PAN,gru,finetune,0.2,0.0368,0.5828
cross_B_train_LG_test_PAN,gru,finetune,0.5,0.01816,0.9013
cross_B_train_LG_test_PAN,gru,finetune,1.0,0.01638,0.9317
cross_B_train_LG_test_PAN,gru,recal_affine,0.0,0.07092,0.0
cross_B_train_LG_test_PAN,gru,recal_affine,0.05,0.06356,0.1257
cross_B_train_LG_test_PAN,gru,recal_affine,0.1,0.06329,0.1303
cross_B_train_LG_test_PAN,gru,recal_affine,0.2,0.05706,0.2368
cross_B_train_LG_test_PAN,gru,recal_affine,0.5,0.05595,0.2557
cross_B_train_LG_test_PAN,gru,recal_affine,1.0,0.05575,0.2591
cross_B_train_LG_test_PAN,gru,recal_bias,0.0,0.07092,0.0
cross_B_train_LG_test_PAN,gru,recal_bias,0.05,0.0585,0.2122
cross_B_train_LG_test_PAN,gru,recal_bias,0.1,0.05973,0.1912
cross_B_train_LG_test_PAN,gru,recal_bias,0.2,0.05713,0.2356
cross_B_train_LG_test_PAN,gru,recal_bias,0.5,0.05677,0.2417
cross_B_train_LG_test_PAN,gru,recal_bias,1.0,0.05649,0.2465
cross_B_train_LG_test_PAN,linear,recal_affine,0.0,0.0672,
cross_B_train_LG_test_PAN,linear,recal_affine,0.05,0.06736,
cross_B_train_LG_test_PAN,linear,recal_affine,0.1,0.0687,
cross_B_train_LG_test_PAN,linear,recal_affine,0.2,0.0693,
cross_B_train_LG_test_PAN,linear,recal_affine,0.5,0.06669,
cross_B_train_LG_test_PAN,linear,recal_affine,1.0,0.06533,
cross_B_train_LG_test_PAN,linear,recal_bias,0.0,0.0672,
cross_B_train_LG_test_PAN,linear,recal_bias,0.05,0.0628,
cross_B_train_LG_test_PAN,linear,recal_bias,0.1,0.06498,
cross_B_train_LG_test_PAN,linear,recal_bias,0.2,0.0634,
cross_B_train_LG_test_PAN,linear,recal_bias,0.5,0.06194,
cross_B_train_LG_test_PAN,linear,recal_bias,1.0,0.06169,
cross_B_train_LG_test_PAN,lstm,finetune,0.0,0.06958,0.0
cross_B_train_LG_test_PAN,lstm,finetune,0.05,0.02976,0.7463
cross_B_train_LG_test_PAN,lstm,finetune,0.1,0.03516,0.6451
cross_B_train_LG_test_PAN,lstm,finetune,0.2,0.02835,0.7727
cross_B_train_LG_test_PAN,lstm,finetune,0.5,0.01917,0.9447
cross_B_train_LG_test_PAN,lstm,finetune,1.0,0.01674,0.9903
cross_B_train_LG_test_PAN,lstm,recal_affine,0.0,0.06958,0.0
cross_B_train_LG_test_PAN,lstm,recal_affine,0.05,0.06438,0.0975
cross_B_train_LG_test_PAN,lstm,recal_affine,0.1,0.06371,0.11
cross_B_train_LG_test_PAN,lstm,recal_affine,0.2,0.05732,0.2298
cross_B_train_LG_test_PAN,lstm,recal_affine,0.5,0.05617,0.2513
cross_B_train_LG_test_PAN,lstm,recal_affine,1.0,0.05603,0.2539
cross_B_train_LG_test_PAN,lstm,recal_bias,0.0,0.06958,0.0
cross_B_train_LG_test_PAN,lstm,recal_bias,0.05,0.05946,0.1897
cross_B_train_LG_test_PAN,lstm,recal_bias,0.1,0.05977,0.1838
cross_B_train_LG_test_PAN,lstm,recal_bias,0.2,0.05731,0.2299
cross_B_train_LG_test_PAN,lstm,recal_bias,0.5,0.05643,0.2464
cross_B_train_LG_test_PAN,lstm,recal_bias,1.0,0.05635,0.2479
cross_B_train_LG_test_PAN,mlp,recal_affine,0.0,0.07648,0.0
cross_B_train_LG_test_PAN,mlp,recal_affine,0.05,0.06886,0.1325
cross_B_train_LG_test_PAN,mlp,recal_affine,0.1,0.06991,0.1142
cross_B_train_LG_test_PAN,mlp,recal_affine,0.2,0.06337,0.2279
cross_B_train_LG_test_PAN,mlp,recal_affine,0.5,0.06173,0.2564
cross_B_train_LG_test_PAN,mlp,recal_affine,1.0,0.06131,0.2637
cross_B_train_LG_test_PAN,mlp,recal_bias,0.0,0.07648,0.0
cross_B_train_LG_test_PAN,mlp,recal_bias,0.05,0.06364,0.2232
cross_B_train_LG_test_PAN,mlp,recal_bias,0.1,0.06477,0.2035
cross_B_train_LG_test_PAN,mlp,recal_bias,0.2,0.06369,0.2223
cross_B_train_LG_test_PAN,mlp,recal_bias,0.5,0.06243,0.2442
cross_B_train_LG_test_PAN,mlp,recal_bias,1.0,0.06167,0.2574
cross_B_train_LG_test_PAN,patchtst,finetune,0.0,0.06416,0.0
cross_B_train_LG_test_PAN,patchtst,finetune,0.05,0.05249,0.2933
cross_B_train_LG_test_PAN,patchtst,finetune,0.1,0.04923,0.3752
