direction,condition,model,soc_bin,mae,count
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.7-0.8,0.1036,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.8-0.9,0.11194,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,cnn_bilstm_attn,0.9-1.0,0.08525,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.0-0.1,0.07324,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.1-0.2,0.0373,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.2-0.3,0.03167,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.3-0.4,0.0519,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.4-0.5,0.07522,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.5-0.6,0.0904,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.6-0.7,0.09436,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.7-0.8,0.10421,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.8-0.9,0.11292,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,tcn,0.9-1.0,0.06704,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.0-0.1,0.07568,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.1-0.2,0.03706,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.2-0.3,0.02795,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.3-0.4,0.04855,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.4-0.5,0.07158,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.5-0.6,0.08298,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.6-0.7,0.08723,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.7-0.8,0.09682,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.8-0.9,0.106,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,transformer,0.9-1.0,0.06818,66820
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.0-0.1,0.10383,2440
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.1-0.2,0.05797,11955
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.2-0.3,0.0386,18950
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.3-0.4,0.03371,24095
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.4-0.5,0.04106,26430
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.5-0.6,0.05561,26590
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.6-0.7,0.07475,27845
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.7-0.8,0.09639,28295
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.8-0.9,0.12369,29745
cross_B_train_LG_test_PAN,C4_coral,bilstm,0.9-1.0,0.07106,66820
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.0-0.1,0.10894,2440
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.1-0.2,0.06101,11955
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.2-0.3,0.0403,18950
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.3-0.4,0.03889,24095
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.4-0.5,0.04923,26430
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.5-0.6,0.06361,26590
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.6-0.7,0.08546,27845
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.7-0.8,0.11118,28295
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.8-0.9,0.13578,29745
cross_B_train_LG_test_PAN,C4_coral,cnn_bilstm_attn,0.9-1.0,0.0791,66820
cross_B_train_LG_test_PAN,C4_coral,tcn,0.0-0.1,0.10615,2440
cross_B_train_LG_test_PAN,C4_coral,tcn,0.1-0.2,0.06749,11955
cross_B_train_LG_test_PAN,C4_coral,tcn,0.2-0.3,0.04207,18950
cross_B_train_LG_test_PAN,C4_coral,tcn,0.3-0.4,0.03925,24095
cross_B_train_LG_test_PAN,C4_coral,tcn,0.4-0.5,0.05032,26430
cross_B_train_LG_test_PAN,C4_coral,tcn,0.5-0.6,0.06398,26590
cross_B_train_LG_test_PAN,C4_coral,tcn,0.6-0.7,0.08436,27845
cross_B_train_LG_test_PAN,C4_coral,tcn,0.7-0.8,0.10759,28295
cross_B_train_LG_test_PAN,C4_coral,tcn,0.8-0.9,0.13254,29745
cross_B_train_LG_test_PAN,C4_coral,tcn,0.9-1.0,0.07505,66820
cross_B_train_LG_test_PAN,C4_coral,transformer,0.0-0.1,0.0979,2440
cross_B_train_LG_test_PAN,C4_coral,transformer,0.1-0.2,0.05491,11955
cross_B_train_LG_test_PAN,C4_coral,transformer,0.2-0.3,0.03801,18950
cross_B_train_LG_test_PAN,C4_coral,transformer,0.3-0.4,0.03493,24095
cross_B_train_LG_test_PAN,C4_coral,transformer,0.4-0.5,0.04618,26430
cross_B_train_LG_test_PAN,C4_coral,transformer,0.5-0.6,0.05746,26590
cross_B_train_LG_test_PAN,C4_coral,transformer,0.6-0.7,0.07635,27845
cross_B_train_LG_test_PAN,C4_coral,transformer,0.7-0.8,0.10037,28295
cross_B_train_LG_test_PAN,C4_coral,transformer,0.8-0.9,0.12657,29745
cross_B_train_LG_test_PAN,C4_coral,transformer,0.9-1.0,0.08086,66820
