direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.7-0.8,0.06791,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.8-0.9,0.06925,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.9-1.0,0.05153,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.1-0.2,0.06861,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.2-0.3,0.05351,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.3-0.4,0.0726,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.4-0.5,0.05952,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.5-0.6,0.06765,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.6-0.7,0.08725,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.7-0.8,0.08981,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.8-0.9,0.07803,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.9-1.0,0.03786,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.1-0.2,0.07278,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.2-0.3,0.11412,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.3-0.4,0.11172,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.4-0.5,0.06707,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.5-0.6,0.05472,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.6-0.7,0.06323,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.7-0.8,0.05755,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.8-0.9,0.05199,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0.9-1.0,0.06083,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.1-0.2,0.07204,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.2-0.3,0.05984,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.3-0.4,0.08435,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.4-0.5,0.07085,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.5-0.6,0.07461,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.6-0.7,0.09847,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.7-0.8,0.1046,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.8-0.9,0.09064,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.9-1.0,0.04032,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.1-0.2,0.05124,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.2-0.3,0.06686,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.3-0.4,0.08639,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.4-0.5,0.0626,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.5-0.6,0.06522,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.6-0.7,0.08606,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.7-0.8,0.0865,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.8-0.9,0.07733,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.9-1.0,0.05788,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.1-0.2,0.09828,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.2-0.3,0.04359,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.3-0.4,0.04316,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.4-0.5,0.03779,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.5-0.6,0.04749,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.6-0.7,0.06424,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.7-0.8,0.07076,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.8-0.9,0.07501,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.9-1.0,0.05789,30760
cross_A_train_PAN_test_LG,C4_coral,gru,0.1-0.2,0.0945,10200
cross_A_train_PAN_test_LG,C4_coral,gru,0.2-0.3,0.05492,22920
cross_A_train_PAN_test_LG,C4_coral,gru,0.3-0.4,0.04477,19555
cross_A_train_PAN_test_LG,C4_coral,gru,0.4-0.5,0.0639,27250
cross_A_train_PAN_test_LG,C4_coral,gru,0.5-0.6,0.07189,31650
cross_A_train_PAN_test_LG,C4_coral,gru,0.6-0.7,0.09643,25455
cross_A_train_PAN_test_LG,C4_coral,gru,0.7-0.8,0.12159,26610
cross_A_train_PAN_test_LG,C4_coral,gru,0.8-0.9,0.11871,27010
cross_A_train_PAN_test_LG,C4_coral,gru,0.9-1.0,0.06625,30760
cross_A_train_PAN_test_LG,C4_coral,linear,0.1-0.2,0.11002,10200
cross_A_train_PAN_test_LG,C4_coral,linear,0.2-0.3,0.0919,22920
cross_A_train_PAN_test_LG,C4_coral,linear,0.3-0.4,0.09218,19555
cross_A_train_PAN_test_LG,C4_coral,linear,0.4-0.5,0.0907,27250
cross_A_train_PAN_test_LG,C4_coral,linear,0.5-0.6,0.08184,31650
cross_A_train_PAN_test_LG,C4_coral,linear,0.6-0.7,0.0845,25455
cross_A_train_PAN_test_LG,C4_coral,linear,0.7-0.8,0.08989,26610
cross_A_train_PAN_test_LG,C4_coral,linear,0.8-0.9,0.0894,27010
cross_A_train_PAN_test_LG,C4_coral,linear,0.9-1.0,0.07242,30760
cross_A_train_PAN_test_LG,C4_coral,lstm,0.1-0.2,0.08448,10200
cross_A_train_PAN_test_LG,C4_coral,lstm,0.2-0.3,0.05277,22920
cross_A_train_PAN_test_LG,C4_coral,lstm,0.3-0.4,0.05372,19555
cross_A_train_PAN_test_LG,C4_coral,lstm,0.4-0.5,0.07311,27250
cross_A_train_PAN_test_LG,C4_coral,lstm,0.5-0.6,0.07711,31650
cross_A_train_PAN_test_LG,C4_coral,lstm,0.6-0.7,0.09831,25455
cross_A_train_PAN_test_LG,C4_coral,lstm,0.7-0.8,0.12365,26610
cross_A_train_PAN_test_LG,C4_coral,lstm,0.8-0.9,0.11259,27010
cross_A_train_PAN_test_LG,C4_coral,lstm,0.9-1.0,0.05114,30760
cross_A_train_PAN_test_LG,C4_coral,mlp,0.1-0.2,0.07802,10200
cross_A_train_PAN_test_LG,C4_coral,mlp,0.2-0.3,0.05263,22920
cross_A_train_PAN_test_LG,C4_coral,mlp,0.3-0.4,0.05252,19555
cross_A_train_PAN_test_LG,C4_coral,mlp,0.4-0.5,0.06689,27250
cross_A_train_PAN_test_LG,C4_coral,mlp,0.5-0.6,0.07633,31650
cross_A_train_PAN_test_LG,C4_coral,mlp,0.6-0.7,0.09488,25455
cross_A_train_PAN_test_LG,C4_coral,mlp,0.7-0.8,0.10756,26610
cross_A_train_PAN_test_LG,C4_coral,mlp,0.8-0.9,0.10804,27010
cross_A_train_PAN_test_LG,C4_coral,mlp,0.9-1.0,0.06275,30760
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.1-0.2,0.16929,10200
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.2-0.3,0.05935,22920
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.3-0.4,0.06157,19555
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.4-0.5,0.08216,27250
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.5-0.6,0.10976,31650
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.6-0.7,0.13228,25455
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.7-0.8,0.15711,26610
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.8-0.9,0.16646,27010
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.9-1.0,0.15156,30760
cross_B_train_LG_test_PAN,C1_baseline,gru,0.0-0.1,0.07884,2440
cross_B_train_LG_test_PAN,C1_baseline,gru,0.1-0.2,0.04819,11955
cross_B_train_LG_test_PAN,C1_baseline,gru,0.2-0.3,0.02861,18950
cross_B_train_LG_test_PAN,C1_baseline,gru,0.3-0.4,0.0474,24095
cross_B_train_LG_test_PAN,C1_baseline,gru,0.4-0.5,0.07332,26430
cross_B_train_LG_test_PAN,C1_baseline,gru,0.5-0.6,0.08368,26590
cross_B_train_LG_test_PAN,C1_baseline,gru,0.6-0.7,0.0883,27845
cross_B_train_LG_test_PAN,C1_baseline,gru,0.7-0.8,0.09924,28295
cross_B_train_LG_test_PAN,C1_baseline,gru,0.8-0.9,0.11069,29745
cross_B_train_LG_test_PAN,C1_baseline,gru,0.9-1.0,0.06267,66820
cross_B_train_LG_test_PAN,C1_baseline,linear,0.0-0.1,0.05338,2440
cross_B_train_LG_test_PAN,C1_baseline,linear,0.1-0.2,0.09848,11955
cross_B_train_LG_test_PAN,C1_baseline,linear,0.2-0.3,0.05865,18950
cross_B_train_LG_test_PAN,C1_baseline,linear,0.3-0.4,0.04746,24095
cross_B_train_LG_test_PAN,C1_baseline,linear,0.4-0.5,0.0568,26430
cross_B_train_LG_test_PAN,C1_baseline,linear,0.5-0.6,0.0625,26590
