direction,condition,model,seed,mae,rmse,max_error,mape_pct,r2,signed_bias,n_train,n_test,device,smoke,timestamp
cross_A_train_PAN_test_LG,C3_ocv_dischg,linear,0,0.07712508425116539,0.10412336675716234,0.5494539141654968,18.2647571561478,0.8095396734201898,0.027700668014585973,1500,800,cpu,True,2026-06-10T14:40:06+00:00
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0,0.17000343101099133,0.22649845385396714,0.8546055257320404,36.65092589684415,0.09876385009283861,0.1392272561788559,1500,800,cpu,True,2026-06-10T14:40:06+00:00
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0,0.200229132194072,0.2451630015240199,0.6861329674720764,33.26567919159948,-0.05588830497506403,-0.16861355304718018,1500,800,cpu,True,2026-06-10T14:40:09+00:00
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0,0.20283284071367233,0.2395653281236267,0.6597505807876587,36.16988849786838,-0.008221715619717296,-0.19208194315433502,1500,800,cpu,True,2026-06-10T14:40:12+00:00
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0,0.14230481285601854,0.1780348933212619,0.5019203573465347,31.45669105345973,0.44317544654541063,0.02698357030749321,1500,800,cpu,True,2026-06-10T14:40:16+00:00
cross_A_train_PAN_test_LG,C4_coral,linear,0,0.08804362755268812,0.10492048166620353,0.3993033170700073,20.247808603118123,0.806612378734794,0.047703056521713735,1500,800,cpu,True,2026-06-10T14:40:18+00:00
cross_A_train_PAN_test_LG,C4_coral,mlp,0,0.14785918024834246,0.17322916171690306,0.49399590492248535,34.682473766056155,0.4728306797010827,-0.0992458313703537,1500,800,cpu,True,2026-06-10T14:40:18+00:00
cross_A_train_PAN_test_LG,C4_coral,lstm,0,0.22915135383605956,0.2614757236942082,0.5380745530128479,36.24454911052135,-0.2010770468679175,-0.22722500562667847,1500,800,cpu,True,2026-06-10T14:40:21+00:00
cross_A_train_PAN_test_LG,C4_coral,gru,0,0.30269444941543044,0.32640003140634377,0.6887382417917252,55.80899662300509,-0.871580466522812,-0.3023921847343445,1500,800,cpu,True,2026-06-10T14:40:24+00:00
cross_A_train_PAN_test_LG,C4_coral,patchtst,0,0.1989615499973297,0.2382782755973538,0.5725366920232773,44.26264200126054,0.002582423519713717,0.14814229309558868,1500,800,cpu,True,2026-06-10T14:40:27+00:00
cross_B_train_LG_test_PAN,C1_baseline,linear,0,0.07749534754548222,0.10866252125932006,0.6486639231443405,16.36321620270879,0.832789386564807,-0.041639405325986444,1500,800,cpu,True,2026-06-10T14:40:28+00:00
cross_B_train_LG_test_PAN,C1_baseline,mlp,0,0.16375853184144945,0.19498220072936312,0.4281347990036011,31.336456195132122,0.4616134265266939,-0.08451689034700394,1500,800,cpu,True,2026-06-10T14:40:28+00:00
cross_B_train_LG_test_PAN,C1_baseline,lstm,0,0.26307321500033143,0.2935534492928859,0.8304088041186333,40.54026410968619,-0.22033385685146523,-0.260715126991272,1500,800,cpu,True,2026-06-10T14:40:31+00:00
cross_B_train_LG_test_PAN,C1_baseline,gru,0,0.33061808528844266,0.3526057461369739,0.9790879711508751,58.44286036529002,-0.7606906408426386,-0.3306180536746979,1500,800,cpu,True,2026-06-10T14:40:34+00:00
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0,0.16246148334350438,0.196424288767155,0.5012940987944603,41.24144453645559,0.4536201639205659,-0.013045060448348522,1500,800,cpu,True,2026-06-10T14:40:37+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0,0.07655417795758694,0.10496777178598825,0.5630531907081604,13.380894852453117,0.8439670780131361,-0.040696203825064,1500,800,cpu,True,2026-06-10T14:40:38+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0,0.15555551746394486,0.18280858011193576,0.43140172958374023,30.807713135340464,0.5267425755599371,-0.05909513309597969,1500,800,cpu,True,2026-06-10T14:40:38+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0,0.21577691126149148,0.24742842642550836,0.594808429479599,36.55187902330307,0.13303119471340497,-0.18703776597976685,1500,800,cpu,True,2026-06-10T14:40:42+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0,0.19855452377232724,0.22728088665611013,0.7698329240083694,31.64762891993839,0.2684734131796359,-0.19608533382415771,1500,800,cpu,True,2026-06-10T14:40:46+00:00
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0,0.16901997306849809,0.19497267526349848,0.4217172861099243,26.880458943847856,0.4616660288425972,-0.15649323165416718,1500,800,cpu,True,2026-06-10T14:40:50+00:00
