direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.3-0.4,0.07156,69
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.4-0.5,0.09544,110
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.5-0.6,0.14578,123
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.6-0.7,0.21074,97
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.7-0.8,0.29251,94
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.8-0.9,0.3466,78
cross_A_train_PAN_test_LG,C3_ocv_dischg,lstm,0.9-1.0,0.36553,112
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.1-0.2,0.16468,46
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.2-0.3,0.17356,71
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.3-0.4,0.19422,69
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.4-0.5,0.16766,110
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.5-0.6,0.1483,123
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.6-0.7,0.17189,97
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.7-0.8,0.19327,94
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.8-0.9,0.1848,78
cross_A_train_PAN_test_LG,C3_ocv_dischg,mlp,0.9-1.0,0.1497,112
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.1-0.2,0.16118,46
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.2-0.3,0.13631,71
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.3-0.4,0.18378,69
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.4-0.5,0.14143,110
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.5-0.6,0.11045,123
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.6-0.7,0.1251,97
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.7-0.8,0.14639,94
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.8-0.9,0.14286,78
cross_A_train_PAN_test_LG,C3_ocv_dischg,patchtst,0.9-1.0,0.15974,112
cross_A_train_PAN_test_LG,C4_coral,gru,0.1-0.2,0.20991,46
cross_A_train_PAN_test_LG,C4_coral,gru,0.2-0.3,0.14177,71
cross_A_train_PAN_test_LG,C4_coral,gru,0.3-0.4,0.20578,69
cross_A_train_PAN_test_LG,C4_coral,gru,0.4-0.5,0.21842,110
cross_A_train_PAN_test_LG,C4_coral,gru,0.5-0.6,0.29175,123
cross_A_train_PAN_test_LG,C4_coral,gru,0.6-0.7,0.32963,97
cross_A_train_PAN_test_LG,C4_coral,gru,0.7-0.8,0.35019,94
cross_A_train_PAN_test_LG,C4_coral,gru,0.8-0.9,0.41177,78
cross_A_train_PAN_test_LG,C4_coral,gru,0.9-1.0,0.45817,112
cross_A_train_PAN_test_LG,C4_coral,linear,0.1-0.2,0.11953,46
cross_A_train_PAN_test_LG,C4_coral,linear,0.2-0.3,0.10696,71
cross_A_train_PAN_test_LG,C4_coral,linear,0.3-0.4,0.08795,69
cross_A_train_PAN_test_LG,C4_coral,linear,0.4-0.5,0.09047,110
cross_A_train_PAN_test_LG,C4_coral,linear,0.5-0.6,0.07958,123
cross_A_train_PAN_test_LG,C4_coral,linear,0.6-0.7,0.08016,97
cross_A_train_PAN_test_LG,C4_coral,linear,0.7-0.8,0.08642,94
cross_A_train_PAN_test_LG,C4_coral,linear,0.8-0.9,0.09115,78
cross_A_train_PAN_test_LG,C4_coral,linear,0.9-1.0,0.07611,112
cross_A_train_PAN_test_LG,C4_coral,lstm,0.1-0.2,0.04994,46
cross_A_train_PAN_test_LG,C4_coral,lstm,0.2-0.3,0.04037,71
cross_A_train_PAN_test_LG,C4_coral,lstm,0.3-0.4,0.10763,69
cross_A_train_PAN_test_LG,C4_coral,lstm,0.4-0.5,0.15616,110
cross_A_train_PAN_test_LG,C4_coral,lstm,0.5-0.6,0.21196,123
